table,Nom source,Language,pays,Auteurs,Date de publication,Description du contenu,Technique utilisee pour la collecte,Page start,Page end
KNSR106.pdf,International Journal of Dairy Technology 73(2),English,,"Mitra S.,  Ghosh B.C.",2020,Quality characteristics of kefir as a carrier for probiotic Lactobacillus rhamnosus GG,automatic with collab,384,391
KNSR107.pdf,International Journal of Dairy Technology 73(2),English,,"Oussaief O.,  Jrad Z.,  Adt I.,  Dbara M.,  Khorchani T.,  El-Hatmi H.",2020,Antioxidant activities of enzymatic-hydrolysed proteins of dromedary (Camelus dromedarius) colostrum,automatic with collab,333,340
KNSR108.pdf,International Journal of Dairy Technology 73(2),English,,"Oliveira A.P.D.D.,  Costa M.M.D.,  Nogueira D.M.,  Dias F.S.",2020,"Characterisation of Staphylococcus aureus strains from milk and goat cheese and evaluation of their inhibition by gallic acid, nisin and velame of the Brazilian caatinga",automatic with collab,345,356
KNSR109.pdf,International Journal of Dairy Technology 73(2),English,,"He S.,  Wang R.,  Wei W.,  Liu H.,  Ma Y.",2020,Simultaneous determination of 22 residual steroid hormones in milk by liquid chromatography–tandem mass spectrometry,automatic with collab,357,365
KNSR110.pdf,International Journal of Dairy Technology 73(2),English,,"Kelly P.,  Shalloo L.,  Wallace M.,  Dillon P.",2020,"The Irish dairy industry – Recent history and strategy, current state and future challenges",automatic with collab,309,323
KNSR111.pdf,International Journal of Dairy Technology 73(2),English,,"Ranvir S.,  Sharma R.,  Gandhi K.,  Upadhyay N.,  Mann B.",2020,Assessment of proteolysis in ultra-high temperature milk using attenuated total reflectance–Fourier transform infrared spectroscopy,automatic with collab,366,375
KNSR112.pdf,International Journal of Dairy Technology 73(2),English,,"Abou-Soliman N.H.I.,  Awad S.,  Desouky M.M.",2020,Effect of digestive enzymes on the activity of camel-milk insulin,automatic with collab,341,344
KNSR113.pdf,International Journal of Dairy Technology 73(2),English,,"Ruvalcaba-Gomez J.M.,  Ruiz-Espinosa H.,  Arteaga-Garibay R.I.,  Rojas-Lopez M.,  Amador-Espejo G.G.,  Anaya-Esparza L.M.,  Delgado-Macuil R.J.",2020,"Texture, physicochemical and sensory properties of artisanal Adobera cheese from Los Altos de Jalisco, a genuine Mexican cheese",automatic with collab,411,420
KNSR114.pdf,International Journal of Dairy Technology 73(2),English,,"Mehditabar H.,  Razavi S.M.A.,  Javidi F.",2020,"Influence of pumpkin puree and guar gum on the bioactive, rheological, thermal and sensory properties of ice cream",automatic with collab,447,458
KNSR115.pdf,International Journal of Dairy Technology 73(1),English,,"El-Shafei S.M.S.,  Sakr S.S.,  Abou-Soliman N.H.I.",2020,The impact of supplementing goats' milk with quinoa extract on some properties of yoghurt,automatic with collab,126,133
KNSR116.pdf,International Journal of Dairy Technology 73(1),English,,"Alizadeh Khaledabad M.,  Ghasempour Z.,  Moghaddas Kia E.,  Rezazad Bari M.,  Zarrin R.",2020,"Probiotic yoghurt functionalised with microalgae and Zedo gum: chemical, microbiological, rheological and sensory characteristics",automatic with collab,67,75
KNSR117.pdf,International Journal of Dairy Technology 73(1),English,,"Hadjimbei E.,  Botsaris G.,  Goulas V.,  Alexandri E.,  Gekas V.,  Gerothanassis I.P.",2020,Functional stability of goats' milk yoghurt supplemented with Pistacia atlantica resin extracts and Saccharomyces boulardii,automatic with collab,134,143
KNSR118.pdf,International Journal of Dairy Technology 73(1),English,,"Ryan J.,  Hutchings S.C.,  Fang Z.,  Bandara N.,  Gamlath S.,  Ajlouni S.,  Ranadheera C.S.",2020,"Microbial, physico-chemical and sensory characteristics of mango juice-enriched probiotic dairy drinks",automatic with collab,182,190
KNSR119.pdf,International Journal of Dairy Technology 73(1),English,,"Rasouli M.,  Abbasi S.,  Azarikia F.,  Ettelaie R.",2020,On the heat stability of whey protein: Effect of sodium hexametaphosphate,automatic with collab,46,56
KNSR120.pdf,International Journal of Dairy Technology 73(1),English,,"Ahmad N.,  Saleem M.",2020,Characterisation of cow and buffalo ghee using fluorescence spectroscopy,automatic with collab,191,201
KNSR121.pdf,International Journal of Dairy Technology 73(1),English,,"Solhi P.,  Azadmard-Damirchi S.,  Hesari J.,  Hamishehkar H.",2020,Effect of fortification with asparagus powder on the qualitative properties of processed cheese,automatic with collab,226,233
KNSR122.pdf,International Journal of Dairy Technology 73(1),English,,"Dey A.,  Rasane P.,  Singhal S.,  Kumar V.,  Kaur S.,  Singh J.,  Garba U.,  Kaur N.,  Arora M.",2020,Cactus cladode polysaccharide as cryoprotectant in frozen Paneer (Indian Cottage Cheese),automatic with collab,215,225
KNSR123.pdf,International Journal of Dairy Technology 73(1),English,,"Kravtsov V.A.,  Kulikova I.K.,  Bessonov A.S.,  Evdokimov I.A.",2020,Feasibility of using electrodialysis with bipolar membranes to deacidify acid whey,automatic with collab,261,269
KNSR124.pdf,International Journal of Dairy Technology 73(1),English,,"Uzun P.,  Serrapica F.,  Masucci F.,  Assunta B.C.M.,  Yildiz H.,  Grasso F.,  Di Francia A.",2020,Diversity of traditional Caciocavallo cheeses produced in Italy,automatic with collab,234,243
KNSR125.pdf,International Journal of Dairy Technology 73(1),English,,"Ale E.C.,  Batistela V.A.,  Correa Olivar G.,  Ferrado J.B.,  Sadiq S.,  Ahmed H.I.,  Reinheimer J.A.,  Vera-Candioti L.,  Laws A.P.,  Binetti A.G.",2020,Statistical optimisation of the exopolysaccharide production by Lactobacillus fermentum Lf2 and analysis of its chemical composition,automatic with collab,76,87
KNSR126.pdf,International Journal of Dairy Technology 73(1),English,,"Vladimir D.,  Miloslava K.,  Marketa M.,  Jaroslava H.,  Petr R.",2020,Microbial diversity of Livanjski cheese with the emphasis on lactic acid bacteria based on culture-dependent and sequencing method,automatic with collab,202,214
KNSR127.pdf,International Journal of Dairy Technology 73(1),English,,"O'Sullivan L.,  Bolton D.,  McAuliffe O.,  Coffey A.",2020,The use of bacteriophages to control and detect pathogens in the dairy industry,automatic with collab,1,11
KNSR128.pdf,International Journal of Dairy Technology 73(1),English,,"Thekkilaveedu S.,  Krishnaswami V.,  Mohanan D.P.,  Alagarsamy S.,  Natesan S.,  Kandasamy R.",2020,"Lactic acid-mediated isolation of alpha-, beta- and kappa-casein fractions by isoelectric precipitation coupled with cold extraction from defatted cow milk",automatic with collab,31,39
KNSR129.pdf,International Journal of Dairy Technology 73(1),English,,"Nazari S.M.,  Mortazavi A.,  Hesari J.,  Tabatabaei Yazdi F.",2020,Proteolysis and textural properties of low-fat ultrafiltered Feta cheese as influenced by maltodextrin,automatic with collab,244,254
KNSR130.pdf,International Journal of Dairy Technology 73(1),English,,"Alwazeer D.,  Bulut M.,  Tuncturk Y.",2020,Fortification of milk with plant extracts modifies the acidification and reducing capacities of yoghurt bacteria,automatic with collab,117,125
KNSR131.pdf,International Journal of Dairy Technology 73(1),English,,"Makarapong D.,  Tantayanon S.,  Gowanit C.,  Inchaisri C.",2020,Development of an innovative apparatus using UV-C for controlling the number of microorganisms in raw milk after milking,automatic with collab,301,305
